X, Z, VelocityU, VelocityW
 290           162 
3.125e-02 , -7.96875e+00 , -2.194447e-03 , 2.499696e-03
3.125e-02 , -7.90625e+00 , -5.559221e-05 , 5.290198e-03
3.125e-02 , -7.84375e+00 , 4.713695e-04 , 5.273314e-03
3.125e-02 , -7.78125e+00 , 6.704522e-04 , 4.536324e-03
3.125e-02 , -7.718749e+00 , 9.200015e-04 , 3.440564e-03
3.125e-02 , -7.656249e+00 , 1.108574e-03 , 1.878942e-03
3.125e-02 , -7.593749e+00 , 1.160927e-03 , 1.047661e-05
3.125e-02 , -7.531249e+00 , 1.132527e-03 , -1.923158e-03
3.125e-02 , -7.468748e+00 , 1.056512e-03 , -3.777855e-03
3.125e-02 , -7.406248e+00 , 9.542656e-04 , -5.470457e-03
3.125e-02 , -7.343748e+00 , 8.405942e-04 , -6.956297e-03
3.125e-02 , -7.281247e+00 , 7.240377e-04 , -8.215769e-03
3.125e-02 , -7.218747e+00 , 6.099874e-04 , -9.244608e-03
3.125e-02 , -7.156247e+00 , 5.0121e-04 , -1.004782e-02
3.125e-02 , -7.093747e+00 , 3.950628e-04 , -1.0632e-02
3.125e-02 , -7.031248e+00 , 2.726987e-04 , -1.104961e-02
3.125e-02 , -6.96875e+00 , 7.203531e-05 , -1.110918e-02
3.125e-02 , -6.90625e+00 , -8.025355e-05 , -1.073142e-02
3.125e-02 , -6.84375e+00 , -2.471455e-04 , -1.004646e-02
3.125e-02 , -6.78125e+00 , -4.424171e-04 , -8.994345e-03
3.125e-02 , -6.718749e+00 , -6.860559e-04 , -7.498478e-03
3.125e-02 , -6.656249e+00 , -9.460369e-04 , -5.493431e-03
3.125e-02 , -6.593749e+00 , -1.215663e-03 , -2.952921e-03
3.125e-02 , -6.531249e+00 , -1.491617e-03 , 1.387144e-04
3.125e-02 , -6.468748e+00 , -1.759163e-03 , 3.778774e-03
3.125e-02 , -6.406248e+00 , -1.979229e-03 , 7.911285e-03
3.125e-02 , -6.343748e+00 , -2.091279e-03 , 1.238331e-02
3.125e-02 , -6.281247e+00 , -1.952666e-03 , 1.684523e-02
3.125e-02 , -6.218747e+00 , -1.41472e-03 , 2.078169e-02
3.125e-02 , -6.156247e+00 , -3.906757e-04 , 2.313659e-02
3.125e-02 , -6.093747e+00 , 1.254342e-03 , 2.271156e-02
3.125e-02 , -6.031248e+00 , 3.507162e-03 , 1.83836e-02
3.125e-02 , -5.96875e+00 , 5.656678e-03 , 9.643697e-03
3.125e-02 , -5.90625e+00 , 6.400418e-03 , -2.040354e-03
3.125e-02 , -5.84375e+00 , 5.762671e-03 , -1.397166e-02
3.125e-02 , -5.78125e+00 , 4.716161e-03 , -2.429488e-02
3.125e-02 , -5.718749e+00 , 3.977226e-03 , -3.288122e-02
3.125e-02 , -5.656249e+00 , 3.275034e-03 , -4.006102e-02
3.125e-02 , -5.593749e+00 , 2.57711e-03 , -4.586751e-02
3.125e-02 , -5.531248e+00 , 1.813697e-03 , -5.023383e-02
3.125e-02 , -5.468748e+00 , 1.140498e-03 , -5.318196e-02
3.125e-02 , -5.406248e+00 , 7.79797e-04 , -5.511202e-02
3.125e-02 , -5.343747e+00 , 8.704396e-04 , -5.678583e-02
3.125e-02 , -5.281247e+00 , 1.407564e-03 , -5.909976e-02
3.125e-02 , -5.218747e+00 , 2.112608e-03 , -6.266538e-02
3.125e-02 , -5.156246e+00 , 2.586041e-03 , -6.741483e-02
3.125e-02 , -5.093746e+00 , 2.538259e-03 , -7.259265e-02
3.125e-02 , -5.031246e+00 , 1.941952e-03 , -7.712807e-02
3.125e-02 , -4.968745e+00 , 9.261113e-04 , -8.005184e-02
3.125e-02 , -4.906245e+00 , -3.714891e-04 , -8.066257e-02
3.125e-02 , -4.843745e+00 , -1.682678e-03 , -7.86662e-02
3.125e-02 , -4.781244e+00 , -2.771157e-03 , -7.427294e-02
3.125e-02 , -4.718744e+00 , -3.479564e-03 , -6.808585e-02
3.125e-02 , -4.656244e+00 , -3.79015e-03 , -6.088213e-02
3.125e-02 , -4.593744e+00 , -3.745266e-03 , -5.341362e-02
3.125e-02 , -4.531247e+00 , -3.378896e-03 , -4.635545e-02
3.125e-02 , -4.46875e+00 , -2.947382e-03 , -4.009107e-02
3.125e-02 , -4.40625e+00 , -2.69827e-03 , -3.449996e-02
3.125e-02 , -4.343749e+00 , -2.504051e-03 , -2.934224e-02
3.125e-02 , -4.281248e+00 , -2.301115e-03 , -2.456832e-02
3.125e-02 , -4.218747e+00 , -2.075553e-03 , -2.020573e-02
3.125e-02 , -4.156246e+00 , -1.792662e-03 , -1.633119e-02
3.125e-02 , -4.093746e+00 , -1.494804e-03 , -1.301572e-02
3.125e-02 , -4.031248e+00 , -1.102086e-03 , -1.036878e-02
3.125e-02 , -3.96875e+00 , -6.985461e-04 , -8.496021e-03
3.125e-02 , -3.90625e+00 , -4.153917e-04 , -7.291939e-03
3.125e-02 , -3.843749e+00 , -3.067064e-04 , -6.472341e-03
3.125e-02 , -3.781248e+00 , -3.826806e-04 , -5.691244e-03
3.125e-02 , -3.718747e+00 , -6.244262e-04 , -4.609272e-03
3.125e-02 , -3.656246e+00 , -9.687746e-04 , -2.93736e-03
3.125e-02 , -3.593746e+00 , -1.331391e-03 , -4.802276e-04
3.125e-02 , -3.531248e+00 , -1.697463e-03 , 2.787607e-03
3.125e-02 , -3.46875e+00 , -2.055028e-03 , 6.775966e-03
3.125e-02 , -3.40625e+00 , -2.406816e-03 , 1.14376e-02
3.125e-02 , -3.343749e+00 , -2.764647e-03 , 1.678553e-02
3.125e-02 , -3.281248e+00 , -3.106038e-03 , 2.281669e-02
3.125e-02 , -3.218747e+00 , -3.371241e-03 , 2.944187e-02
3.125e-02 , -3.156246e+00 , -3.307483e-03 , 3.627813e-02
3.125e-02 , -3.093746e+00 , -1.657821e-03 , 4.142161e-02
3.125e-02 , -3.031248e+00 , 2.520469e-02 , 1.819601e-02
3.125e-02 , -2.96875e+00 , 4.982798e-01 , -5.108269e-03
3.125e-02 , -2.90625e+00 , 4.995809e-01 , -3.009848e-03
3.125e-02 , -2.84375e+00 , 4.998281e-01 , -2.403828e-03
3.125e-02 , -2.78125e+00 , 4.998828e-01 , -2.102104e-03
3.125e-02 , -2.718749e+00 , 4.998873e-01 , -1.861363e-03
3.125e-02 , -2.656249e+00 , 4.998788e-01 , -1.618214e-03
3.125e-02 , -2.593749e+00 , 4.998676e-01 , -1.356774e-03
3.125e-02 , -2.531249e+00 , 4.998565e-01 , -1.07442e-03
3.125e-02 , -2.468748e+00 , 4.998465e-01 , -7.722611e-04
3.125e-02 , -2.406248e+00 , 4.998375e-01 , -4.523738e-04
3.125e-02 , -2.343748e+00 , 4.998298e-01 , -1.169851e-04
3.125e-02 , -2.281247e+00 , 4.998231e-01 , 2.317558e-04
3.125e-02 , -2.218747e+00 , 4.998174e-01 , 5.918251e-04
3.125e-02 , -2.156247e+00 , 4.998127e-01 , 9.613186e-04
3.125e-02 , -2.093747e+00 , 4.998089e-01 , 1.338428e-03
3.125e-02 , -2.031248e+00 , 4.99806e-01 , 1.721405e-03
3.125e-02 , -1.96875e+00 , 4.99804e-01 , 2.108563e-03
3.125e-02 , -1.90625e+00 , 4.998029e-01 , 2.498228e-03
3.125e-02 , -1.84375e+00 , 4.998027e-01 , 2.888687e-03
3.125e-02 , -1.78125e+00 , 4.998033e-01 , 3.278184e-03
3.125e-02 , -1.718749e+00 , 4.99805e-01 , 3.664928e-03
3.125e-02 , -1.656249e+00 , 4.998075e-01 , 4.047157e-03
3.125e-02 , -1.593749e+00 , 4.998108e-01 , 4.423186e-03
3.125e-02 , -1.531249e+00 , 4.998148e-01 , 4.791635e-03
3.125e-02 , -1.468748e+00 , 4.998187e-01 , 5.151932e-03
3.125e-02 , -1.406248e+00 , 4.998213e-01 , 5.505467e-03
3.125e-02 , -1.343748e+00 , 4.998197e-01 , 5.85792e-03
3.125e-02 , -1.281247e+00 , 4.998066e-01 , 6.225175e-03
3.125e-02 , -1.218747e+00 , 4.997629e-01 , 6.649503e-03
3.125e-02 , -1.156247e+00 , 4.996341e-01 , 7.247148e-03
3.125e-02 , -1.093747e+00 , 4.992455e-01 , 8.370276e-03
3.125e-02 , -1.031248e+00 , 4.979819e-01 , 1.113498e-02
3.125e-02 , -9.6875e-01 , 3.120155e-02 , -1.810247e-02
3.125e-02 , -9.0625e-01 , -4.521637e-03 , -4.48712e-02
3.125e-02 , -8.437499e-01 , -7.789395e-05 , -4.036715e-02
3.125e-02 , -7.812497e-01 , 2.176113e-03 , -4.255456e-02
3.125e-02 , -7.187495e-01 , 3.253781e-03 , -4.806132e-02
3.125e-02 , -6.562492e-01 , 3.779843e-03 , -5.516057e-02
3.125e-02 , -5.937489e-01 , 4.019597e-03 , -6.301658e-02
3.125e-02 , -5.312485e-01 , 4.098467e-03 , -7.118411e-02
3.125e-02 , -4.687482e-01 , 4.082176e-03 , -7.940865e-02
3.125e-02 , -4.062479e-01 , 4.008238e-03 , -8.753852e-02
3.125e-02 , -3.437476e-01 , 3.899112e-03 , -9.548169e-02
3.125e-02 , -2.812473e-01 , 3.76839e-03 , -1.03182e-01
3.125e-02 , -2.18747e-01 , 3.624181e-03 , -1.106048e-01
3.125e-02 , -1.562469e-01 , 3.471239e-03 , -1.177282e-01
3.125e-02 , -9.374678e-02 , 3.312147e-03 , -1.245376e-01
3.125e-02 , -3.124838e-02 , 3.148072e-03 , -1.31022e-01
3.125e-02 , 3.125e-02 , 2.979255e-03 , -1.371719e-01
3.125e-02 , 9.375003e-02 , 2.805307e-03 , -1.429778e-01
3.125e-02 , 1.562501e-01 , 2.62544e-03 , -1.484287e-01
3.125e-02 , 2.187503e-01 , 2.43858e-03 , -1.535116e-01
3.125e-02 , 2.812505e-01 , 2.243462e-03 , -1.582115e-01
3.125e-02 , 3.437508e-01 , 2.038681e-03 , -1.625105e-01
3.125e-02 , 4.062511e-01 , 1.82273e-03 , -1.663879e-01
3.125e-02 , 4.687515e-01 , 1.594025e-03 , -1.698198e-01
3.125e-02 , 5.312518e-01 , 1.350928e-03 , -1.727791e-01
3.125e-02 , 5.937521e-01 , 1.091754e-03 , -1.752355e-01
3.125e-02 , 6.562524e-01 , 8.147962e-04 , -1.771551e-01
3.125e-02 , 7.187527e-01 , 5.183357e-04 , -1.785007e-01
3.125e-02 , 7.81253e-01 , 2.006659e-04 , -1.792317e-01
3.125e-02 , 8.437531e-01 , -1.398812e-04 , -1.79304e-01
3.125e-02 , 9.062532e-01 , -5.048937e-04 , -1.786704e-01
3.125e-02 , 9.687516e-01 , -8.958152e-04 , -1.772806e-01
3.125e-02 , 1.03125e+00 , -1.313828e-03 , -1.750816e-01
3.125e-02 , 1.09375e+00 , -1.7599e-03 , -1.720183e-01
3.125e-02 , 1.15625e+00 , -2.234606e-03 , -1.68034e-01
3.125e-02 , 1.21875e+00 , -2.738121e-03 , -1.630714e-01
3.125e-02 , 1.281251e+00 , -3.270149e-03 , -1.570733e-01
3.125e-02 , 1.343751e+00 , -3.829928e-03 , -1.499835e-01
3.125e-02 , 1.406251e+00 , -4.416487e-03 , -1.417475e-01
3.125e-02 , 1.468751e+00 , -5.02928e-03 , -1.323123e-01
3.125e-02 , 1.531252e+00 , -5.667654e-03 , -1.216264e-01
3.125e-02 , 1.593752e+00 , -6.330847e-03 , -1.096396e-01
3.125e-02 , 1.656252e+00 , -7.016475e-03 , -9.630475e-02
